"","speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi"
"1940","Sphyrapicus thyroideus","bird","Piciformes","Picidae",29,"tavg",0.384577575487495,0.405420735652831,0.0384615384615385
"1941","Sphyrapicus varius","bird","Piciformes","Picidae",68,"tavg",0.287138015975044,0.295444304740886,0.0153846153846154
"1942","Spilogale gracilis","mammal","Carnivora","Mephitidae",6,"tavg",0.176102738238652,0.177957823641503,0.333333333333333
"1943","Spilogale putorius","mammal","Carnivora","Mephitidae",8,"tavg",-0.166666666666667,-0.168236118310607,0.2
"1944","Spinus magellanicus","bird","Passeriformes","Fringillidae",24,"tavg",-0.372963437523474,-0.391860961747462,0.0476190476190476
"1945","Spinus pinus","bird","Passeriformes","Fringillidae",104,"tavg",0.0144939059017366,0.0144949209572689,0.0099009900990099
"1946","Spinus psaltria","bird","Passeriformes","Fringillidae",45,"tavg",0.0174560626195207,0.0174578359800187,0.0238095238095238
"1947","Spinus tristis","bird","Passeriformes","Fringillidae",132,"tavg",-0.226963758821414,-0.230985988285946,0.00775193798449612
"1948","Spiza americana","bird","Passeriformes","Cardinalidae",10,"tavg",0.28080222874326,0.288552758783237,0.142857142857143
"1949","Spizella arborea","bird","Passeriformes","Passerellidae",74,"tavg",-0.126072465124969,-0.126746851345945,0.0140845070422535
"1950","Spizella breweri","bird","Passeriformes","Passerellidae",24,"tavg",0.134155039890816,0.134968665892612,0.0476190476190476
"1951","Spizella pallida","bird","Passeriformes","Passerellidae",19,"tavg",0.00480244107279302,0.00480247799357479,0.0625
"1952","Spizella passerina","bird","Passeriformes","Passerellidae",84,"tavg",-0.208477376312462,-0.211579008639527,0.0123456790123457
"1953","Spizella pusilla","bird","Passeriformes","Passerellidae",16,"tavg",-0.0163740863301384,-0.0163755499215214,0.0769230769230769
"1954","Sporophila caerulescens","bird","Passeriformes","Thraupidae",5,"tavg",-0.542438418121965,-0.607604175352921,0.5
"1955","Sporophila minuta","bird","Passeriformes","Thraupidae",6,"tavg",0.208924566890758,0.212046564118134,0.333333333333333
"1956","Sporophila plumbea","bird","Passeriformes","Thraupidae",5,"tavg",-0.380560991367326,-0.400715483688851,0.5
"1957","Sporophila torqueola","bird","Passeriformes","Thraupidae",7,"tavg",-0.149779142931879,-0.150914502855095,0.25
"1958","Stachyris nigriceps","bird","Passeriformes","Sylviidae",6,"tavg",0.53191337268075,0.592809711778091,0.333333333333333
"1959","Steganopus tricolor","bird","Charadriiformes","Scolopacidae",18,"tavg",0.392506812678699,0.414759951665987,0.0666666666666667
"1960","Stelgidopteryx ruficollis","bird","Passeriformes","Hirundinidae",7,"tavg",-0.881982828173764,-1.38462552901549,0.25
"1961","Stelgidopteryx serripennis","bird","Passeriformes","Hirundinidae",15,"tavg",-0.0512125141110859,-0.0512573567538031,0.0833333333333333
"1962","Stellula calliope","bird","Apodiformes","Trochilidae",9,"tavg",0.642026025494056,0.761612926456981,0.166666666666667
"1963","Sterna caspia","bird","Charadriiformes","Laridae",8,"tavg",-0.5,-0.549306144334055,0.2
"1964","Sterna forsteri","bird","Charadriiformes","Laridae",5,"tavg",-0.848139390419793,-1.24948580960156,0.5
"1965","Sterna hirundo","bird","Charadriiformes","Laridae",11,"tavg",-0.339461465072934,-0.35348372805653,0.125
"1966","Stiphrornis erythrothorax","bird","Passeriformes","Muscicapidae",5,"tavg",0.102290583899234,0.102649608427406,0.5
"1967","Storeria occipitomaculata","reptile","Squamata","Colubridae",5,"tavg",-0.6,-0.693147180559945,0.5
"1968","Streptopelia capicola","bird","Columbiformes","Columbidae",14,"tavg",-0.265536807254224,-0.272055891169085,0.0909090909090909
"1969","Streptopelia decaocto","bird","Columbiformes","Columbidae",23,"tavg",-0.162468899244274,-0.163921492762466,0.05
"1970","Streptopelia decipiens","bird","Columbiformes","Columbidae",6,"tavg",0.0742587804244727,0.0743957305363314,0.333333333333333
"1971","Streptopelia orientalis","bird","Columbiformes","Columbidae",7,"tavg",-0.49212426031875,-0.538859625480522,0.25
"1972","Streptopelia semitorquata","bird","Columbiformes","Columbidae",9,"tavg",-0.01404444040066,-0.0140453639146221,0.166666666666667
"1973","Streptopelia senegalensis","bird","Columbiformes","Columbidae",25,"tavg",-0.0253552089782218,-0.0253606445832821,0.0454545454545455
"1974","Strix nebulosa","bird","Strigiformes","Strigidae",19,"tavg",-0.107546930942237,-0.10796447400382,0.0625
"1975","Strix varia","bird","Strigiformes","Strigidae",79,"tavg",0.560262673408113,0.633215951415826,0.0131578947368421
"1976","Sturnella magna","bird","Passeriformes","Icteridae",25,"tavg",-0.444650473965764,-0.478012496299886,0.0454545454545455
"1977","Sturnella neglecta","bird","Passeriformes","Icteridae",51,"tavg",0.105348671918399,0.105741019784908,0.0208333333333333
"1978","Sturnira lilium","mammal","Chiroptera","Phyllostomidae",80,"tavg",-0.21976606741569,-0.223410291516596,0.012987012987013
"1979","Sturnira ludovici","mammal","Chiroptera","Phyllostomidae",21,"tavg",-0.4592131069837,-0.496313656719506,0.0555555555555556
"1980","Sturnira luisi","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.0630995280147581,-0.0631834732967072,0.5
"1981","Sturnira sturnira","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.732435678285789,-0.933961805703248,0.5
"1982","Sturnira tildae","mammal","Chiroptera","Phyllostomidae",8,"tavg",-0.259550093520859,-0.265625942183165,0.2
"1983","Sturnus vulgaris","bird","Passeriformes","Sturnidae",106,"tavg",-0.1200266321628,-0.120608049765144,0.00970873786407767
"1984","Stylodipus sungorus","mammal","Rodentia","Dipodidae",5,"tavg",-0.197268924682838,-0.199889294007056,0.5
"1985","Sublegatus modestus","bird","Passeriformes","Tyrannidae",9,"tavg",0.474741752249098,0.516174064048981,0.166666666666667
"1986","Suiriri suiriri","bird","Passeriformes","Tyrannidae",5,"tavg",0.749526555471409,0.971873792772446,0.5
"1987","Suncus murinus","mammal","Soricomorpha","Soricidae",16,"tavg",-0.181570134561291,-0.183605874516278,0.0769230769230769
"1988","Surnia ulula","bird","Strigiformes","Strigidae",5,"tavg",0.2,0.202732554054082,0.5
"1989","Sus scrofa","mammal","Artiodactyla","Suidae",5,"tavg",0.310957384465097,0.321604928360626,0.5
"1990","Syconycteris australis","mammal","Chiroptera","Pteropodidae",12,"tavg",-0.134668472288325,-0.135491544906711,0.111111111111111
"1991","Sylvia atricapilla","bird","Passeriformes","Sylviidae",16,"tavg",-0.0446036505563659,-0.0446332653561449,0.0769230769230769
"1992","Sylvia borin","bird","Passeriformes","Sylviidae",11,"tavg",0.16901924622902,0.17065689545654,0.125
"1993","Sylvia cantillans","bird","Passeriformes","Sylviidae",6,"tavg",0.59656573821841,0.687798316663041,0.333333333333333
"1994","Sylvia communis","bird","Passeriformes","Sylviidae",15,"tavg",-0.277054287604873,-0.284488617104068,0.0833333333333333
"1995","Sylvia curruca","bird","Passeriformes","Sylviidae",12,"tavg",-0.43608539693296,-0.467386694711999,0.111111111111111
"1996","Sylvia melanocephala","bird","Passeriformes","Sylviidae",6,"tavg",-0.449215280391948,-0.483716739346472,0.333333333333333
"1997","Sylvia subcaerulea","bird","Passeriformes","Sylviidae",7,"tavg",-0.311140967390445,-0.321808175799647,0.25
"1998","Sylvietta rufescens","bird","Passeriformes","Macrosphenidae",8,"tavg",-0.331022441007286,-0.343976081527422,0.2
"1999","Sylvietta whytii","bird","Passeriformes","Macrosphenidae",6,"tavg",0.145071812995758,0.14610257959692,0.333333333333333
"2000","Sylvilagus audubonii","mammal","Lagomorpha","Leporidae",102,"tavg",0.249134718754155,0.254490057876596,0.0101010101010101
"2001","Sylvilagus bachmani","mammal","Lagomorpha","Leporidae",16,"tavg",-0.00655795398403196,-0.00655804799857656,0.0769230769230769
"2002","Sylvilagus brasiliensis","mammal","Lagomorpha","Leporidae",6,"tavg",-0.57919404990674,-0.661249049801784,0.333333333333333
"2003","Sylvilagus floridanus","mammal","Lagomorpha","Leporidae",39,"tavg",-0.14119054598431,-0.142140130341503,0.0277777777777778
"2004","Sylvilagus nuttallii","mammal","Lagomorpha","Leporidae",22,"tavg",-0.426015338544157,-0.45501834174928,0.0526315789473684
"2005","Syma torotoro","bird","Coraciiformes","Alcedinidae",5,"tavg",0.9,1.47221948958322,0.5
"2006","Synallaxis albescens","bird","Passeriformes","Furnariidae",8,"tavg",0.26596004004517,0.272511284886307,0.2
"2007","Synallaxis azarae","bird","Passeriformes","Furnariidae",18,"tavg",0.461452991842145,0.499155816147707,0.0666666666666667
"2008","Synallaxis unirufa","bird","Passeriformes","Furnariidae",8,"tavg",0.709288205214398,0.885749964049324,0.2
"2009","Synaptomys borealis","mammal","Rodentia","Cricetidae",149,"tavg",0.111880140722321,0.112350485666586,0.00684931506849315
"2010","Synaptomys cooperi","mammal","Rodentia","Cricetidae",5,"tavg",0.9999999,8.40562139102231,0.5
"2011","Syndactyla rufosuperciliata","bird","Passeriformes","Furnariidae",22,"tavg",-0.103779324052207,-0.104154323226086,0.0526315789473684
"2012","Syndactyla subalaris","bird","Passeriformes","Furnariidae",6,"tavg",-0.342445565226305,-0.356860363544092,0.333333333333333
"2013","Synthliboramphus antiquus","bird","Charadriiformes","Alcidae",5,"tavg",-0.810333650418147,-1.12799998543152,0.5
"2014","Syrigma sibilatrix","bird","Pelecaniformes","Ardeidae",6,"tavg",-0.646461887682419,-0.769196330177208,0.333333333333333
"2015","Systellura longirostris","bird","Caprimulgiformes","Caprimulgidae",9,"tavg",-0.0547227365345981,-0.0547774587225841,0.166666666666667
"2016","Tachycineta bicolor","bird","Passeriformes","Hirundinidae",40,"tavg",-0.147003898864786,-0.148076769797316,0.027027027027027
"2017","Tachycineta thalassina","bird","Passeriformes","Hirundinidae",26,"tavg",-0.126854466779334,-0.127541562871401,0.0434782608695652
"2018","Tachyphonus coronatus","bird","Passeriformes","Thraupidae",8,"tavg",0.152072051287911,0.153260858890047,0.2
"2019","Tachyphonus cristatus","bird","Passeriformes","Thraupidae",5,"tavg",-0.410391340834062,-0.436081732138703,0.5
"2020","Tachyphonus luctuosus","bird","Passeriformes","Thraupidae",5,"tavg",-1.01746837991646e-16,-5.55111512312578e-17,0.5
"2021","Tachyphonus phoenicius","bird","Passeriformes","Thraupidae",9,"tavg",-0.218144218754457,-0.221706773442543,0.166666666666667
"2022","Tachyphonus rufus","bird","Passeriformes","Thraupidae",7,"tavg",-0.404790281036765,-0.429364746085845,0.25
"2023","Tachyphonus surinamus","bird","Passeriformes","Thraupidae",14,"tavg",-0.244225230530589,-0.249262451291498,0.0909090909090909
"2024","Tadarida brasiliensis","mammal","Chiroptera","Molossidae",63,"tavg",-0.182465817462555,-0.184532248770576,0.0166666666666667
"2025","Tamias alpinus","mammal","Rodentia","Sciuridae",13,"tavg",0.0976777932642221,0.0979902301471942,0.1
"2026","Tamias amoenus","mammal","Rodentia","Sciuridae",180,"tavg",-0.0718381958935816,-0.0719621590556492,0.00564971751412429
"2027","Tamias canipes","mammal","Rodentia","Sciuridae",6,"tavg",-0.33815332218165,-0.35200595004194,0.333333333333333
"2028","Tamias cinereicollis","mammal","Rodentia","Sciuridae",27,"tavg",0.0940402695408382,0.0943189671592299,0.0416666666666667
"2029","Tamias dorsalis","mammal","Rodentia","Sciuridae",74,"tavg",0.283105729802213,0.291055200563821,0.0140845070422535
"2030","Tamias merriami","mammal","Rodentia","Sciuridae",9,"tavg",-0.411219915714285,-0.437078527581335,0.166666666666667
"2031","Tamias minimus","mammal","Rodentia","Sciuridae",326,"tavg",-0.292196131115554,-0.300965721561942,0.00309597523219814
"2032","Tamias obscurus","mammal","Rodentia","Sciuridae",8,"tavg",-0.658489143268683,-0.790141421219243,0.2
"2033","Tamias panamintinus","mammal","Rodentia","Sciuridae",9,"tavg",-0.268316655033766,-0.275049000120564,0.166666666666667
"2034","Tamias quadrimaculatus","mammal","Rodentia","Sciuridae",11,"tavg",0.0806869408630042,0.0808627289916518,0.125
"2035","Tamias quadrivittatus","mammal","Rodentia","Sciuridae",66,"tavg",-0.0488582168868729,-0.0488971495605566,0.0158730158730159
"2036","Tamias ruficaudus","mammal","Rodentia","Sciuridae",9,"tavg",0.051667229000541,0.0517132780464687,0.166666666666667
"2037","Tamias rufus","mammal","Rodentia","Sciuridae",10,"tavg",0.0807088357656668,0.080884767411795,0.142857142857143
"2038","Tamias senex","mammal","Rodentia","Sciuridae",27,"tavg",0.569061664508915,0.646134023494857,0.0416666666666667
"2039","Tamias sibiricus","mammal","Rodentia","Sciuridae",33,"tavg",-0.140404362604832,-0.14133804646832,0.0333333333333333
"2040","Tamias siskiyou","mammal","Rodentia","Sciuridae",11,"tavg",0.107171587614648,0.107584754014967,0.125
"2041","Tamias speciosus","mammal","Rodentia","Sciuridae",51,"tavg",0.272868861042904,0.27996086629874,0.0208333333333333
"2042","Tamias striatus","mammal","Rodentia","Sciuridae",29,"tavg",0.210420567554161,0.213611357489339,0.0384615384615385
"2043","Tamias townsendii","mammal","Rodentia","Sciuridae",112,"tavg",-0.0578031293017193,-0.0578676359747988,0.00917431192660551
"2044","Tamias umbrinus","mammal","Rodentia","Sciuridae",73,"tavg",-0.201492125423311,-0.204287335941119,0.0142857142857143
"2045","Tamiasciurus douglasii","mammal","Rodentia","Sciuridae",133,"tavg",-0.549628729789359,-0.617849182269504,0.00769230769230769
"2046","Tamiasciurus hudsonicus","mammal","Rodentia","Sciuridae",445,"tavg",-0.125772790693041,-0.126442348560673,0.00226244343891403
"2047","Tangara cayana","bird","Passeriformes","Thraupidae",11,"tavg",-0.557461454013917,-0.629142465750711,0.125
"2048","Tangara chilensis","bird","Passeriformes","Thraupidae",9,"tavg",-0.0714271341881865,-0.0715489772096372,0.166666666666667
"2049","Tangara cyanicollis","bird","Passeriformes","Thraupidae",12,"tavg",-0.356335531599277,-0.372682150771754,0.111111111111111
"2050","Tangara gyrola","bird","Passeriformes","Thraupidae",6,"tavg",0.525153385399181,0.583429214658632,0.333333333333333
"2051","Tangara nigroviridis","bird","Passeriformes","Thraupidae",6,"tavg",-0.219351732178365,-0.222974971171114,0.333333333333333
"2052","Tangara parzudakii","bird","Passeriformes","Thraupidae",7,"tavg",-0.218986876414245,-0.222591705147961,0.25
"2053","Tangara punctata","bird","Passeriformes","Thraupidae",10,"tavg",-0.127321349920571,-0.12801611060188,0.142857142857143
"2054","Tangara vassorii","bird","Passeriformes","Thraupidae",10,"tavg",-0.678331501663668,-0.826016959078596,0.142857142857143
"2055","Tangara viridicollis","bird","Passeriformes","Thraupidae",6,"tavg",-0.187407750693249,-0.189649201948617,0.333333333333333
"2056","Tangara xanthocephala","bird","Passeriformes","Thraupidae",9,"tavg",-0.282961304869286,-0.290898198514789,0.166666666666667
"2057","Tapera naevia","bird","Cuculiformes","Cuculidae",5,"tavg",0.411112603785436,0.436949382719905,0.5
"2058","Taphozous melanopogon","mammal","Chiroptera","Emballonuridae",5,"tavg",0.123294272706531,0.123924785321608,0.5
"2059","Taraba major","bird","Passeriformes","Thamnophilidae",9,"tavg",0.597453057423755,0.689177041609455,0.166666666666667
"2060","Taricha torosa","amphibian","Caudata","Salamandridae",13,"tavg",0.252112767469841,0.257667704754179,0.1
"2061","Tarsiger cyanurus","bird","Passeriformes","Muscicapidae",10,"tavg",-0.12726354369559,-0.127957352294462,0.142857142857143
"2062","Tatera leucogaster","mammal","Rodentia","Muridae",16,"tavg",0.305658835349513,0.315749807801962,0.0769230769230769
"2063","Taxidea taxus","mammal","Carnivora","Mustelidae",45,"tavg",-0.0936745765434539,-0.0939500240581705,0.0238095238095238
"2064","Tchagra australis","bird","Passeriformes","Malaconotidae",15,"tavg",-0.288213265705175,-0.296616567931149,0.0833333333333333
"2065","Tchagra senegalus","bird","Passeriformes","Malaconotidae",6,"tavg",-0.104776608056874,-0.105162570896493,0.333333333333333
"2066","Telophorus sulfureopectus","bird","Passeriformes","Malaconotidae",11,"tavg",0.186256634250875,0.188456450866376,0.125
"2067","Terenotriccus erythrurus","bird","Passeriformes","Tyrannidae",9,"tavg",0.538350854831292,0.601830535798432,0.166666666666667
"2068","Terpsiphone cinnamomea","bird","Passeriformes","Monarchidae",9,"tavg",0.116620245234101,0.117153291179124,0.166666666666667
"2069","Terpsiphone rufiventer","bird","Passeriformes","Monarchidae",9,"tavg",-0.717685787829285,-0.902856256725876,0.166666666666667
"2070","Terpsiphone viridis","bird","Passeriformes","Monarchidae",22,"tavg",0.326184742497897,0.338552754756578,0.0526315789473684
"2071","Thalurania furcata","bird","Apodiformes","Trochilidae",29,"tavg",-0.0236328922119096,-0.0236372934507525,0.0384615384615385
"2072","Thamnomanes ardesiacus","bird","Passeriformes","Thamnophilidae",12,"tavg",-0.321323719726722,-0.333122538367527,0.111111111111111
"2073","Thamnomanes caesius","bird","Passeriformes","Thamnophilidae",12,"tavg",0.263921928413077,0.270319309337139,0.111111111111111
"2074","Thamnophilus amazonicus","bird","Passeriformes","Thamnophilidae",6,"tavg",-0.405892568465376,-0.430683747965397,0.333333333333333
"2075","Thamnophilus caerulescens","bird","Passeriformes","Thamnophilidae",22,"tavg",-0.561634456139523,-0.63521757135883,0.0526315789473684
"2076","Thamnophilus doliatus","bird","Passeriformes","Thamnophilidae",12,"tavg",-0.614925564297629,-0.716803744644796,0.111111111111111
"2077","Thamnophilus murinus","bird","Passeriformes","Thamnophilidae",11,"tavg",0.064058402862123,0.0641462399962771,0.125
"2078","Thamnophilus punctatus","bird","Passeriformes","Thamnophilidae",7,"tavg",0.135691316293906,0.136533427968183,0.25
"2079","Thamnophilus ruficapillus","bird","Passeriformes","Thamnophilidae",8,"tavg",0.493975613187081,0.541305589491514,0.2
"2080","Thamnophilus schistaceus","bird","Passeriformes","Thamnophilidae",8,"tavg",-0.147607523511879,-0.148693783017738,0.2
"2081","Thamnophis atratus","reptile","Squamata","Colubridae",28,"tavg",0.122456085288031,0.123073748634839,0.04
"2082","Thamnophis couchii","reptile","Squamata","Colubridae",23,"tavg",0.292352579446275,0.301136782668187,0.05
"2083","Thamnophis elegans","reptile","Squamata","Colubridae",48,"tavg",0.0344810547194297,0.0344947298138622,0.0222222222222222
"2084","Thamnophis hammondii","reptile","Squamata","Colubridae",8,"tavg",-0.160688087908884,-0.162092941797312,0.2
"2085","Thamnophis sauritus","reptile","Squamata","Colubridae",7,"tavg",0.357142857142857,0.373607200915111,0.25
"2086","Thamnophis sirtalis","reptile","Squamata","Colubridae",41,"tavg",0.342703079934662,0.357152117695432,0.0263157894736842
"2087","Thinocorus orbignyianus","bird","Charadriiformes","Thinocoridae",5,"tavg",0.825095608176498,1.17257408024693,0.5
"2088","Thlypopsis ornata","bird","Passeriformes","Thraupidae",8,"tavg",-0.0346265256830063,-0.0346403746724756,0.2
"2089","Thlypopsis ruficeps","bird","Passeriformes","Thraupidae",9,"tavg",-0.377982757432684,-0.397704062611315,0.166666666666667
"2090","Thomomys bottae","mammal","Rodentia","Geomyidae",269,"tavg",0.0384026513068642,0.0384215463068606,0.0037593984962406
"2091","Thomomys bulbivorus","mammal","Rodentia","Geomyidae",13,"tavg",0.335550834527204,0.349070360528551,0.1
"2092","Thomomys mazama","mammal","Rodentia","Geomyidae",19,"tavg",-0.104591340643604,-0.104975250690259,0.0625
"2093","Thomomys monticola","mammal","Rodentia","Geomyidae",36,"tavg",-0.16662997927808,-0.168198382948227,0.0303030303030303
"2094","Thomomys talpoides","mammal","Rodentia","Geomyidae",151,"tavg",-0.11161924524781,-0.112086290928224,0.00675675675675676
"2095","Thomomys townsendii","mammal","Rodentia","Geomyidae",6,"tavg",0.675928425944298,0.821579087935566,0.333333333333333
"2096","Thomomys umbrinus","mammal","Rodentia","Geomyidae",5,"tavg",-0.914387381719547,-1.55366013161229,0.5
"2097","Thraupis cyanocephala","bird","Passeriformes","Thraupidae",12,"tavg",0.0167582459141688,0.0167598149671596,0.111111111111111
"2098","Thraupis episcopus","bird","Passeriformes","Thraupidae",19,"tavg",0.0831173871408098,0.08330958996293,0.0625
"2099","Thraupis palmarum","bird","Passeriformes","Thraupidae",11,"tavg",-0.70061991795746,-0.868517088833186,0.125
"2100","Thraupis sayaca","bird","Passeriformes","Thraupidae",8,"tavg",0.505727647848242,0.556972430935556,0.2
"2101","Threnetes leucurus","bird","Apodiformes","Trochilidae",13,"tavg",-0.372981760596215,-0.391882245584056,0.1
"2102","Thryomanes bewickii","bird","Passeriformes","Troglodytidae",45,"tavg",-0.0983076023785859,-0.0986261457063175,0.0238095238095238
"2103","Thryophilus pleurostictus","bird","Passeriformes","Troglodytidae",5,"tavg",0.0207613699634351,0.0207643536905811,0.5
"2104","Thryophilus rufalbus","bird","Passeriformes","Troglodytidae",6,"tavg",0.780601739958018,1.04690901251666,0.333333333333333
"2105","Thryothorus ludovicianus","bird","Passeriformes","Troglodytidae",41,"tavg",-0.080430324905217,-0.0806044367952655,0.0263157894736842
"2106","Thylamys elegans","mammal","Didelphimorphia","Didelphidae",9,"tavg",-0.631484783271538,-0.743881892339879,0.166666666666667
"2107","Tiaris obscurus","bird","Passeriformes","Thraupidae",8,"tavg",0.215025900508251,0.21843497493906,0.2
"2108","Tinamus major","bird","Tinamiformes","Tinamidae",5,"tavg",-0.1,-0.100335347731075,0.5
"2109","Tityra cayana","bird","Passeriformes","Tityridae",6,"tavg",-0.885714285714286,-1.40168019045327,0.333333333333333
"2110","Tockus flavirostris","bird","Bucerotiformes","Bucerotidae",5,"tavg",0.584529623688339,0.669315779803271,0.5
"2111","Todiramphus chloris","bird","Coraciiformes","Alcedinidae",15,"tavg",0.0402663458556139,0.040288129381755,0.0833333333333333
"2112","Todiramphus sanctus","bird","Coraciiformes","Alcedinidae",11,"tavg",-0.38027651748943,-0.400382875234268,0.125
"2113","Todirostrum cinereum","bird","Passeriformes","Tyrannidae",7,"tavg",-0.549388233197509,-0.617504651227357,0.25
"2114","Todus subulatus","bird","Coraciiformes","Todidae",8,"tavg",-0.206119178244718,-0.209114921033425,0.2
"2115","Tolmomyias flaviventris","bird","Passeriformes","Tyrannidae",9,"tavg",-0.236349524701584,-0.240904096798294,0.166666666666667
"2116","Tolmomyias poliocephalus","bird","Passeriformes","Tyrannidae",6,"tavg",0.725134041373425,0.918388237964698,0.333333333333333
"2117","Tolmomyias sulphurescens","bird","Passeriformes","Tyrannidae",20,"tavg",-0.0964082057513943,-0.0967085726464072,0.0588235294117647
"2118","Tonatia saurophila","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.367486386716285,0.38551391801453,0.142857142857143
"2119","Toxorhamphus novaeguineae","bird","Passeriformes","Melanocharitidae",10,"tavg",-0.518817311365522,-0.574720109150174,0.142857142857143
"2120","Toxorhamphus poliopterus","bird","Passeriformes","Melanocharitidae",18,"tavg",-0.116192676948377,-0.116719849551179,0.0666666666666667
"2121","Toxostoma curvirostre","bird","Passeriformes","Mimidae",12,"tavg",0.171407011196397,0.173115905420442,0.111111111111111
"2122","Toxostoma longirostre","bird","Passeriformes","Mimidae",5,"tavg",0.00696161037747228,0.00696172284328193,0.5
"2123","Toxostoma redivivum","bird","Passeriformes","Mimidae",13,"tavg",-0.36858934339327,-0.386789679130934,0.1
"2124","Toxostoma rufum","bird","Passeriformes","Mimidae",39,"tavg",-0.00525165902054127,-0.00525170730145647,0.0277777777777778
"2125","Trachops cirrhosus","mammal","Chiroptera","Phyllostomidae",11,"tavg",0.038082716604338,0.0381011430108433,0.125
"2126","Trachylepis maculilabris","reptile","Squamata","Scincidae",5,"tavg",-0.116563101030039,-0.117095359473556,0.5
"2127","Tregellasia capito","bird","Passeriformes","Petroicidae",11,"tavg",0.312839895761764,0.323690307843118,0.125
"2128","Tregellasia leucops","bird","Passeriformes","Petroicidae",8,"tavg",-0.172333838987193,-0.174070944613762,0.2
"2129","Treron calvus","bird","Columbiformes","Columbidae",6,"tavg",-0.0647123072198902,-0.0648028664055013,0.333333333333333
"2130","Trichechus manatus","mammal","Sirenia","Trichechidae",20,"tavg",-0.141942578138326,-0.142907542308082,0.0588235294117647
"2131","Tricholaema leucomelas","bird","Piciformes","Lybiidae",11,"tavg",-0.489072720537972,-0.534840800086473,0.125
"2132","Trichothraupis melanops","bird","Passeriformes","Thraupidae",17,"tavg",-0.216004075537193,-0.219460796082981,0.0714285714285714
"2133","Trimeresurus albolabris","reptile","Squamata","Viperidae",18,"tavg",-0.416266891006851,-0.44316793281087,0.0666666666666667
"2134","Trimeresurus erythrurus","reptile","Squamata","Viperidae",11,"tavg",0.236174639832233,0.24071887276515,0.125
"2135","Trimeresurus purpureomaculatus","reptile","Squamata","Viperidae",9,"tavg",0.220745065037639,0.224439204388032,0.166666666666667
"2136","Tringa flavipes","bird","Charadriiformes","Scolopacidae",22,"tavg",0.23120630052124,0.23546351876923,0.0526315789473684
"2137","Tringa glareola","bird","Charadriiformes","Scolopacidae",8,"tavg",-0.916224436251495,-1.5649853633358,0.2
"2138","Tringa melanoleuca","bird","Charadriiformes","Scolopacidae",17,"tavg",-0.0234577265484799,-0.0234620306243886,0.0714285714285714
"2139","Tringa semipalmata","bird","Charadriiformes","Scolopacidae",17,"tavg",0.247568967436882,0.252821384636092,0.0714285714285714
"2140","Tringa solitaria","bird","Charadriiformes","Scolopacidae",17,"tavg",0.259895777831017,0.265996631733628,0.0714285714285714
"2141","Tringa totanus","bird","Charadriiformes","Scolopacidae",8,"tavg",-0.211209720067028,-0.214437213596542,0.2
"2142","Trochocercus cyanomelas","bird","Passeriformes","Monarchidae",6,"tavg",-0.374507915808371,-0.393656195988414,0.333333333333333
"2143","Troglodytes aedon","bird","Passeriformes","Troglodytidae",129,"tavg",0.179955848599117,0.181937059168828,0.00793650793650794
"2144","Troglodytes hiemalis","bird","Passeriformes","Troglodytidae",5,"tavg",0.33571279928689,0.349252886618616,0.5
"2145","Troglodytes musculus","bird","Passeriformes","Troglodytidae",7,"tavg",0.800980716001583,1.10134245659526,0.25
"2146","Troglodytes solstitialis","bird","Passeriformes","Troglodytidae",9,"tavg",-0.185620504666845,-0.187797540654283,0.166666666666667
"2147","Troglodytes troglodytes","bird","Passeriformes","Troglodytidae",33,"tavg",-0.157102344013663,-0.158414316769139,0.0333333333333333
"2148","Trogon collaris","bird","Trogoniformes","Trogonidae",8,"tavg",-0.804519727636524,-1.11129514539145,0.2
"2149","Trogon melanurus","bird","Trogoniformes","Trogonidae",6,"tavg",0.257142857142857,0.26304654794839,0.333333333333333
"2150","Trogon personatus","bird","Trogoniformes","Trogonidae",12,"tavg",0.23002659749281,0.234217550028941,0.111111111111111
"2151","Trogon rufus","bird","Trogoniformes","Trogonidae",5,"tavg",-0.666285853426666,-0.804033805375203,0.5
"2152","Trogon viridis","bird","Trogoniformes","Trogonidae",12,"tavg",0.00416237673055642,0.00416240076905929,0.111111111111111
"2153","Tryngites subruficollis","bird","Charadriiformes","Scolopacidae",10,"tavg",0.0392344382677122,0.0392545886103307,0.142857142857143
"2154","Turdus albicollis","bird","Passeriformes","Turdidae",23,"tavg",-0.536869647007483,-0.599747187762714,0.05
"2155","Turdus amaurochalinus","bird","Passeriformes","Turdidae",13,"tavg",0.114489784561919,0.114993996669617,0.1
"2156","Turdus assimilis","bird","Passeriformes","Turdidae",8,"tavg",0.0755547305190288,0.0756989934543301,0.2
"2157","Turdus chiguanco","bird","Passeriformes","Turdidae",22,"tavg",-0.446506718297705,-0.480328577347974,0.0526315789473684
"2158","Turdus fuscater","bird","Passeriformes","Turdidae",15,"tavg",-0.188223584064215,-0.190494865937941,0.0833333333333333
"2159","Turdus grayi","bird","Passeriformes","Turdidae",12,"tavg",-0.196389096567341,-0.198974006048637,0.111111111111111
"2160","Turdus ignobilis","bird","Passeriformes","Turdidae",8,"tavg",-0.234074104164651,-0.238495415664035,0.2
